boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,mihflag,mihoption,zoningmapnumber,zoningmapcode,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
3,4019,120,3040190120,R7A,,,,C2-4,,EC-5,,,,t,Option 1 and Deep Affordability Option,17C,,8.57316600903869,,3040190120,R7A,R5,,,C2-4,,EC-5,,,,17C,,0106000020E61000000100000001030000000100000005000000AA62A19B737852C0A4A413D3375644409DE4E37C737852C0C1C0A8DF36564440BB5D44FC737852C000136ABA3656444090D1BF1A747852C0BF3AE6AD37564440AA62A19B737852C0A4A413D337564440
2,5439,37,2054390037,R3A,,,,,,,,,,,,7C,,244.232308864594,,2054390037,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000006000000797C03B86A7452C0E2E2AE5E73694440524F1F3C6A7452C0DF817E02716944401E9F96996F7452C090A576576E694440B3358FE36F7452C007958DA66F6944402512061E707452C0D11969AF70694440797C03B86A7452C0E2E2AE5E73694440
2,5439,49,2054390049,R3A,,,,,,,,,,,,7C,,200.198636578396,,2054390049,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000006000000C7F00A35657452C0D68E877D58694440D0277D78677452C02D045F5D57694440D9E1C3396A7452C00023A1FE556944405412D6AD6A7452C068C5730C5869444021F69FA1657452C0D58D118F5A694440C7F00A35657452C0D68E877D58694440
1,1120,60,1011200060,R8,C4-7,,,,,,,,,,,8C,,220.172188952565,,1011200060,R8,,,,,,,,,,8C,,0106000020E6100000010000000103000000010000000500000096DF88AABD7E52C03389B55A1C634440FE85D4D7BE7E52C0235796581D634440767F68D7BB7E52C012AD878725634440BEA51CAABA7E52C0157FAA892463444096DF88AABD7E52C03389B55A1C634440
4,10393,56,4103930056,R2,R5B,,,,,,,,,,,15B,,467.932311967015,,4103930056,R5B,R2,,,,,,,,,15B,,0106000020E6100000010000000103000000010000000900000077942626CD7052C0027F0ABC1F594440C9DB8275CB7052C01F4E5CE71F594440292BEB34C77052C0BF4E57542059444097473EA0C17052C06A5B5AE32059444057681A67C17052C0716E99941E59444022DB216FC57052C02C9A4A2D1E594440C4D50B0EC97052C0E99E7DD01D594440B6C5DDDACC7052C0E20A1A6F1D59444077942626CD7052C0027F0ABC1F594440
4,12022,27,4120220027,R5D,R3A,,,C2-3,,,,,,,,18C,,190.516992874444,,4120220027,R5D,,,,C2-3,,,,,,18C,,0106000020E6100000010000000103000000010000000500000031405DC0AF7252C0EB5D3781FE564440EB6EDFABB57252C03AE6A92BFB5644408A0EEE10B67252C087CC04C6FC5644404F294F0CB07252C0CF9DB4290057444031405DC0AF7252C0EB5D3781FE564440
3,7958,60,3079580060,R5,M1-1,,,,,,,,,,,23A,,219.89548856765,,3079580060,R5,,,,,,,,,,23A,,0106000020E610000001000000010300000001000000060000005BB1C469C77A52C057C41B08E95144407C401601CC7A52C04A2BD512E3514440E947A8C5CC7A52C06A23BD72E4514440180806E4CC7A52C0B08018A9E45144407F16A04CC87A52C0277E789EEA5144405BB1C469C77A52C057C41B08E9514440
4,12028,11,4120280011,R5D,R3A,,,C1-3,,,,,,,,18C,,209.483935177326,,4120280011,R5D,,,,C1-3,,,,,,18C,,0106000020E61000000100000001030000000100000005000000D8E467E5B27252C01AF3A55FEB5644406144F451B37252C034FD621CED5644407A6E5B37AD7252C0803CBA8EF0564440DEC3FDE0AC7252C006EA77C5EE564440D8E467E5B27252C01AF3A55FEB564440
1,1123,60,1011230060,R8B,C1-8A,,,,,,,,,,,8C,,238.074724882841,,1011230060,R8B,,,,,,,,,,8C,,0106000020E610000001000000010300000001000000070000000829B174A47E52C0D8153E0E62634440CB7ACA68A77E52C0DB6F1E015A6344404CF97AA3A77E52C00FBEB1325A634440D544C1B3A87E52C04A5EA1185B6344402F5857FBA77E52C03000570F5D6344400070A9BFA57E52C08758BF25636344400829B174A47E52C0D8153E0E62634440
3,7959,138,3079590138,R5,M1-1,,,,,,,,,,,23A,,326.868889879901,,3079590138,R5,,,,,,,,,,23A,,0106000020E6100000010000000103000000010000000700000073DD347ABF7A52C0153E8343F6514440F70E3E65BE7A52C050EA4252F4514440B3BFC257BE7A52C082CC0D3AF451444032616914C37A52C002A4F2EDED5144409B118357C47A52C00F9B0832F05144406E5ADC9ABF7A52C04A1C267EF651444073DD347ABF7A52C0153E8343F6514440
