specialdistrict1edm,specialdistrict1,specialdistrict2,specialdistrict3,count
CR,CR-1,,,2229
SRD,,,,1358
CR,CR-2,,,806
EHC,,,,631
125th,125,,,266
EHC/TA,,,,140
EC-2,,,,93
125th/TA,,,,76
,CD,,,65
,C,,,45
,DJ,,,35
EC-3,,,,34
TA,,,,32
,DB,,,31
,NA-1,,,29
NA-1,,,,26
J,,,,26
,PI,,,21
,MID,,,18
DFR,,,,16
,EC-1,,,15
BR,,,,15
MX-8,,,,14
OP,,,,14
,TA,,,13
,EC-6,,,13
PI,,,,13
125th,,,,13
DB,,,,13
CP,,,,12
,MX-8,,,12
PC,,,,12
,MX-14,,,12
C,,,,11
,EC-5,,,11
LM,,,,10
EC-5,EC-6,,,9
,PC,,,9
,EC-4,,,8
SW,,,,8
,J,,,8
DJ,,,,8
LIC,,,,7
MP,,,,7
,HP,,,6
CR,,,,6
EC-5,,,,6
HP,,,,6
CL,,,,6
MX-14,,,,6
,SG,,,6
,DFR,,,6
SB,,,,5
CI,,,,5
HS,,,,5
,NA-2,,,5
,SB,,,4
,LIC,,,4
MX-7,,,,4
,MX-7,,,4
MiD,,,,4
EC-1,,,,4
SG,,,,4
,HRW,,,4
L,,,,3
,WCH,,,3
NA-2,,,,3
MX-1,,,,3
,MX-13,,,3
MX-10,,,,3
,CO,,,3
SRD,NA-1,,,2
MMU,,,,2
NA-1,SRD,,,2
SHP,,,,2
,SV-1,, ,2
,MX-15,,,2
CD,,,,2
MX-13,,,,2
MX-4,,,,2
US,,,,2
,TMU,,,2
CR,,, ,2
,US,,,2
TMU,,,,2
,CR-1,,,2
125th/TA,125,,,1
MP,PI,,,1
125th,MX-15,125,,1
,MX-4,,,1
J,C,,,1
U,,,,1
,MP,,,1
,CP,,,1
,MX-2,,,1
,MX-1,,,1
,NA-4,,,1
,MX-10,,,1
EC-4,,,,1
,HSQ,,,1
,MX-16,,,1
,EC-2,,,1
MX-16,,,,1
125th,125,MX-15,,1
,MX-6,,,1
MX-12,,,,1
WP,,,,1
HRP,,,,1
SV-1,,,,1
,WP,,,1
LI,,,,1
HY,HRP,, ,1
125th,MX-15,, ,1
,CI,,,1
,MX-12,,,1
,BR,,,1
NA-3,,,,1
,SW,,,1
